id,rating,votes
1,7.4,209285.0
2,6.1,28352.0
3,8.1,883447.0
4,7.7,165197.0
6,8.1,205769.0
8,8.3,1163939.0
11,7.1,350345.0
13,5.5,282941.0
14,4.2,8168.0
15,8.2,493620.0
16,7.9,295623.0
17,7.1,71181.0
18,7.6,13533.0
21,8.3,288520.0
22,7.3,252421.0
23,6.8,12121.0
24,7.1,173557.0
25,7.5,431687.0
26,7.6,120748.0
27,7.6,197053.0
29,8.5,15405.0
30,7.1,182715.0
31,6.4,86348.0
33,8.2,852345.0
34,5.7,12148.0
35,5.6,7385.0
36,5.2,6882.0
37,6.4,8770.0
38,4.9,7894.0
39,6.5,8429.0
40,6.1,6665.0
41,6.5,8268.0
44,6.8,3670.0
45,7.4,192173.0
46,4.3,9679.0
47,7.8,85204.0
48,7.1,126434.0
50,8.0,434400.0
52,7.2,128526.0
53,8.1,604087.0
55,8.1,433786.0
57,6.6,21901.0
58,7.6,14445.0
59,7.2,268391.0
60,7.7,352513.0
62,3.0,3636.0
63,8.4,239777.0
65,8.3,485074.0
66,7.4,184332.0
67,8.1,410952.0
69,6.6,91496.0
70,7.6,138165.0
71,7.7,136127.0
72,8.6,1645416.0
75,7.4,213152.0
76,8.1,918229.0
78,8.0,302405.0
79,7.8,474057.0
80,8.2,1029885.0
82,8.7,2255395.0
83,7.1,18492.0
84,7.6,22132.0
85,7.8,151400.0
86,8.1,1007822.0
87,7.9,24362.0
89,8.0,680596.0
90,7.2,63451.0
91,8.2,1148207.0
92,9.3,3200296.0
95,5.4,93278.0
96,8.0,487178.0
98,6.6,57712.0
99,8.0,108487.0
100,8.6,402720.0
101,7.7,110765.0
102,8.8,892543.0
103,6.8,12566.0
106,7.9,84207.0
108,7.7,272801.0
110,7.1,122142.0
111,7.9,8171.0
113,7.2,9403.0
115,8.5,1354613.0
116,8.8,2504921.0
117,8.2,149616.0
118,7.2,19205.0
121,7.8,131100.0
122,8.1,76447.0
125,6.7,41358.0
126,7.6,54478.0
127,7.9,43341.0
128,7.5,105232.0
129,8.1,178962.0
130,7.0,14859.0
131,7.4,44463.0
132,8.1,249166.0
133,6.8,1257.0
134,7.7,348239.0
135,8.5,1458284.0
136,6.7,72433.0
139,8.3,220349.0
141,7.1,10043.0
143,5.4,500.0
144,8.3,841813.0
146,6.6,9819.0
148,7.8,690542.0
149,8.1,119945.0
150,5.5,1528.0
152,7.4,8826.0
155,7.0,74278.0
157,7.5,209048.0
159,8.1,692121.0
161,7.7,289397.0
162,7.7,31484.0
164,5.8,230498.0
167,6.5,930782.0
168,6.6,824366.0
169,6.8,5038.0
170,8.2,864989.0
176,7.0,19969.0
177,8.3,1180685.0
179,6.9,309664.0
180,7.5,145778.0
181,8.4,1112586.0
182,8.8,2442763.0
183,6.8,94998.0
184,7.1,240761.0
185,7.5,57324.0
187,7.7,925977.0
188,7.7,148469.0
192,8.0,913269.0
193,7.5,39934.0
197,6.3,7649.0
199,8.6,555040.0
202,7.3,28129.0
203,7.2,148607.0
211,7.3,2945.0
212,7.0,3260.0
214,7.1,4435.0
215,8.2,15663.0
216,7.4,5243.0
217,7.0,5431.0
218,6.9,15239.0
221,7.3,9364.0
222,6.2,1370.0
223,6.4,1583.0
224,5.6,835.0
226,6.3,1753.0
227,6.4,125.0
228,5.5,9094.0
233,6.6,4131.0
234,6.9,2932.0
235,6.7,2268.0
242,7.6,4883.0
243,7.7,22207.0
244,6.3,2216.0
245,7.8,9680.0
246,7.8,25053.0
247,7.2,3560.0
249,6.6,1702.0
250,7.6,23360.0
252,6.7,2862.0
254,6.7,1393.0
255,7.7,9852.0
256,7.8,110000.0
258,7.9,57794.0
262,7.4,13497.0
264,8.1,129682.0
265,7.8,24928.0
269,8.2,302842.0
272,7.4,5879.0
274,8.4,258726.0
275,6.9,5538.0
277,7.9,114935.0
280,8.7,1397001.0
281,7.5,58936.0
283,7.0,220780.0
284,9.0,1588915.0
287,6.9,28931.0
288,7.7,136319.0
289,7.9,291669.0
292,5.9,26357.0
293,5.8,34599.0
294,6.5,103124.0
295,6.1,28024.0
296,4.6,27009.0
297,6.5,65562.0
298,5.6,53464.0
299,5.4,22488.0
301,5.1,701.0
303,5.6,37433.0
304,4.6,17761.0
308,7.7,87649.0
309,7.3,20417.0
310,7.4,24527.0
311,7.1,8270.0
313,7.5,23765.0
314,7.6,18659.0
315,7.7,6444.0
316,7.4,105808.0
317,5.3,857.0
319,6.4,11945.0
321,7.3,301331.0
323,8.2,1182898.0
326,8.6,972077.0
327,7.7,46010.0
328,8.0,48759.0
329,7.8,52816.0
331,8.1,196002.0
332,6.9,154318.0
333,6.9,38518.0
336,7.4,13613.0
337,7.9,7850.0
338,7.0,2389.0
339,7.8,59121.0
340,7.8,69334.0
341,7.2,11788.0
342,7.1,2122.0
344,8.5,216845.0
345,7.9,30793.0
348,8.3,369294.0
350,6.4,753.0
351,6.5,2024.0
352,7.7,88881.0
354,8.1,386727.0
356,7.9,124893.0
357,7.5,5522.0
359,8.3,181895.0
361,7.7,64138.0
362,7.9,472763.0
363,7.2,122735.0
366,7.3,44590.0
367,7.5,6671.0
368,7.2,8426.0
375,8.1,128356.0
378,7.6,16623.0
379,8.1,19054.0
380,6.7,1189.0
381,7.9,116660.0
382,7.8,68075.0
383,6.9,11908.0
384,6.1,121556.0
387,7.1,8265.0
390,7.7,59994.0
393,8.4,569661.0
396,7.2,8659.0
397,6.7,2329.0
398,7.7,25495.0
400,7.1,6445.0
402,8.0,57109.0
404,7.2,1913.0
408,6.4,2386.0
409,6.7,2240.0
410,7.5,5137.0
413,7.5,31176.0
415,7.5,8420.0
419,7.7,28615.0
420,7.9,28729.0
422,7.1,226956.0
423,7.3,14026.0
428,7.9,2481.0
429,7.9,44771.0
430,8.0,27265.0
431,7.8,87106.0
434,7.5,80264.0
437,6.7,1678.0
438,7.7,233200.0
442,7.6,23570.0
444,7.6,103516.0
448,7.4,16297.0
450,7.0,6261.0
451,8.0,157764.0
452,8.1,24912.0
457,7.8,102870.0
458,7.7,75544.0
461,8.1,66125.0
462,7.3,14056.0
464,8.0,44326.0
468,8.2,305020.0
470,8.0,40222.0
471,7.3,6933.0
472,7.3,7040.0
476,7.0,35692.0
478,7.4,122834.0
482,7.7,15693.0
484,7.2,44730.0
487,6.2,927.0
488,6.3,17223.0
489,7.9,94308.0
490,6.9,4499.0
492,6.4,4081.0
493,7.1,11862.0
494,8.0,33493.0
495,7.6,18059.0
496,8.1,205269.0
497,4.8,14000.0
498,6.9,2528.0
499,7.5,8084.0
500,7.3,3130.0
501,6.6,1678.0
503,7.5,5457.0
505,7.6,12933.0
510,7.2,7080.0
512,7.6,8318.0
514,7.1,5470.0
515,7.5,5517.0
519,7.9,65286.0
520,8.1,38136.0
522,7.2,10595.0
523,7.5,5214.0
528,7.6,23872.0
529,7.9,59871.0
532,7.5,9157.0
534,7.6,11769.0
537,7.5,569790.0
539,7.8,123628.0
540,7.3,26729.0
542,7.2,3321.0
546,7.1,243444.0
547,7.8,417505.0
548,7.3,96921.0
549,8.5,1263542.0
550,5.4,2060.0
553,6.4,108428.0
554,7.4,29120.0
556,7.7,327755.0
558,6.6,139643.0
561,4.9,393.0
