film,filmLabel,book,bookLabel
http://www.wikidata.org/entity/Q122891366,Fly Me To The Saitama: From Biwa Lake With Love,http://www.wikidata.org/entity/Q24862483,Tonde Saitama
http://www.wikidata.org/entity/Q126091602,Fly Me To The Saitama,http://www.wikidata.org/entity/Q24862483,Tonde Saitama
http://www.wikidata.org/entity/Q136793304,10DANCE,http://www.wikidata.org/entity/Q48746395,10 Dance
http://www.wikidata.org/entity/Q192115,Sin City,http://www.wikidata.org/entity/Q723727,Sin City
http://www.wikidata.org/entity/Q219150,Constantine,http://www.wikidata.org/entity/Q1035139,Hellblazer
http://www.wikidata.org/entity/Q548808,Largo Winch II,http://www.wikidata.org/entity/Q727911,Largo Winch
http://www.wikidata.org/entity/Q923176,Iznogoud,http://www.wikidata.org/entity/Q845259,Iznogoud
http://www.wikidata.org/entity/Q927961,Largo Winch,http://www.wikidata.org/entity/Q727911,Largo Winch
http://www.wikidata.org/entity/Q1082924,Sky Fighters,http://www.wikidata.org/entity/Q996434,Tanguy et Laverdure
http://www.wikidata.org/entity/Q1100832,Mortadelo & Filemon: The Big Adventure,http://www.wikidata.org/entity/Q1100856,Mort & Phil
http://www.wikidata.org/entity/Q1578702,Tintin and the Golden Fleece,http://www.wikidata.org/entity/Q744536,The Adventures of Tintin
http://www.wikidata.org/entity/Q1653396,Sin City: A Dame to Kill For,http://www.wikidata.org/entity/Q723727,Sin City
http://www.wikidata.org/entity/Q1751900,Modesty Blaise,http://www.wikidata.org/entity/Q957752,Modesty Blaise
http://www.wikidata.org/entity/Q4378426,My Name Is Modesty,http://www.wikidata.org/entity/Q957752,Modesty Blaise
http://www.wikidata.org/entity/Q5823889,Q5823889,http://www.wikidata.org/entity/Q1100856,Mort & Phil
http://www.wikidata.org/entity/Q5861226,"Primer Festival de Mortadelo y Filemón, agencia de información",http://www.wikidata.org/entity/Q1100856,Mort & Phil
http://www.wikidata.org/entity/Q9075699,"Segundo Festival de Mortadelo y Filemón, agencia de información",http://www.wikidata.org/entity/Q1100856,Mort & Phil
http://www.wikidata.org/entity/Q58875268,Super López,http://www.wikidata.org/entity/Q1135292,Superlópez
http://www.wikidata.org/entity/Q105702073,White Bird: A Wonder Story,http://www.wikidata.org/entity/Q115011990,White Bird: A Wonder Story
http://www.wikidata.org/entity/Q114492769,The Electric State,http://www.wikidata.org/entity/Q115010844,The Electric State
http://www.wikidata.org/entity/Q117196203,The Price of Money: A Largo Winch Adventure,http://www.wikidata.org/entity/Q727911,Largo Winch
