id,rating,votes,spectacle,spectacle_v
1,7.4,209285.0,0.6503033818246927,0.2742372094213907
2,6.1,28352.0,0.9336648722141753,1.4353192855585262
3,8.1,883447.0,0.7283818503735291,0.8144021041150916
4,7.7,165197.0,1.2175653768506283,0.8144021041150916
6,8.1,205769.0,0.623206281492458,0.8144021041150916
8,8.3,1163939.0,1.2175653768506283,0.8144021041150916
11,7.1,350345.0,1.2308444198932604,1.4353192855585262
13,5.5,282941.0,0.9607619725464102,0.8951543908648253
14,4.2,8168.0,-0.3929744511774241,-0.2659276852723102
15,8.2,493620.0,1.1063794269273564,0.5920302042685478
16,7.9,295623.0,1.5280239675723457,1.4353192855585262
17,7.1,71181.0,0.650414736366407,0.8951543908648253
18,7.6,13533.0,0.29263080123050034,0.2742372094213907
21,8.3,288520.0,1.2175653768506283,0.8144021041150916
22,7.3,252421.0,0.6607315099997048,1.0367740039616353
23,6.8,12121.0,-0.01771643494950258,0.2742372094213907
24,7.1,173557.0,1.2175653768506283,0.8144021041150916
25,7.5,431687.0,1.0387290865535321,0.8144021041150916
26,7.6,120748.0,0.9072181406706252,0.8144021041150916
27,7.6,197053.0,0.6663124031375285,0.8144021041150916
29,8.5,15405.0,0.6171959004502573,0.5920302042685478
30,7.1,182715.0,0.6503033818246927,0.2742372094213907
31,6.4,86348.0,0.33995614564468973,0.2742372094213907
33,8.2,852345.0,0.741549538874447,0.8144021041150916
34,5.7,12148.0,0.33995614564468973,0.2742372094213907
35,5.6,7385.0,0.4714670915275965,0.2742372094213907
36,5.2,6882.0,-0.01771643494950258,0.2742372094213907
37,6.4,8770.0,0.6503033818246927,0.2742372094213907
38,4.9,7894.0,0.913547982673935,1.5160715723082598
39,6.5,8429.0,0.9203858291715431,0.8144021041150916
40,6.1,6665.0,0.6503033818246927,0.2742372094213907
41,6.5,8268.0,0.6503033818246927,0.2742372094213907
44,6.8,3670.0,0.8091998792482712,0.5920302042685478
45,7.4,192173.0,1.2175653768506283,0.8144021041150916
46,4.3,9679.0,-0.5849784299754381,-0.2659276852723102
47,7.8,85204.0,0.29263080123050034,0.2742372094213907
48,7.1,126434.0,0.29263080123050034,0.2742372094213907
50,8.0,434400.0,1.2175653768506283,0.8144021041150916
52,7.2,128526.0,0.43835961015316105,0.5920302042685478
53,8.1,604087.0,1.3964016671477246,0.8144021041150916
55,8.1,433786.0,1.5484603180736947,1.833864567155417
57,6.6,21901.0,0.8020425717895542,0.8144021041150916
58,7.6,14445.0,0.3271736602298892,0.3696583044220041
59,7.2,268391.0,0.9607619725464102,0.8951543908648253
60,7.7,352513.0,1.2175653768506283,0.8144021041150916
62,3.0,3636.0,0.08304138679875712,-0.2659276852723102
63,8.4,239777.0,0.8163571867069882,0.3696583044220041
65,8.3,485074.0,1.2175653768506283,0.8144021041150916
66,7.4,184332.0,1.2175653768506283,0.8144021041150916
67,8.1,410952.0,0.9275431366302603,0.5920302042685478
69,6.6,91496.0,0.9607619725464102,0.8951543908648253
70,7.6,138165.0,1.2175653768506283,0.8144021041150916
71,7.7,136127.0,1.2175653768506283,0.8144021041150916
72,8.6,1645416.0,0.7357539017844347,0.8144021041150916
75,7.4,213152.0,1.0184040905938971,1.0367740039616353
76,8.1,918229.0,1.2175653768506283,0.8144021041150916
78,8.0,302405.0,-0.12890238487277447,0.051865309574846946
79,7.8,474057.0,-0.5301105750164142,-0.39287849011824055
80,8.2,1029885.0,1.2175653768506283,0.8144021041150916
82,8.7,2255395.0,1.3287513267739002,1.0367740039616353
83,7.1,18492.0,1.3964016671477246,0.8144021041150916
